nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
28,0.52,1.4,FALSE,1,0,20,5,1,19,blueBalloon.png,32,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,9,1,19,blueBalloon.png,56,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
11,0.265,0.55,FALSE,1,0,20,15,1,19,blueBalloon.png,92,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
9,0.235,0.45,FALSE,1,0,20,10,1,19,blueBalloon.png,62,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
25,0.475,1.25,FALSE,1,0,20,7,1,19,blueBalloon.png,44,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
8,0.22,0.4,FALSE,1,0,20,13,1,19,blueBalloon.png,80,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
2,0.13,0.1,FALSE,1,0,20,11,1,19,blueBalloon.png,68,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
16,0.34,0.8,FALSE,1,0,20,17,1,19,blueBalloon.png,104,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
2,0.13,0.1,FALSE,1,0,20,6,1,19,blueBalloon.png,38,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,4,1,19,blueBalloon.png,26,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
4,0.16,0.2,FALSE,1,0,20,19,1,19,blueBalloon.png,116,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
9,0.235,0.45,FALSE,1,0,20,18,1,19,blueBalloon.png,110,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
41,0.715,2.05,FALSE,1,0,20,16,1,19,blueBalloon.png,98,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,8,1,19,blueBalloon.png,50,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,12,1,19,blueBalloon.png,74,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
14,0.31,0.7,FALSE,1,0,20,14,1,19,blueBalloon.png,86,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,,
,,,,,,,,,,,,341-2,f,21,004,2019-11-15_13h20.41.425,bart,3.1.3,60,space,0.075000048
