nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,9,1,19,blueBalloon.png,56,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,15,1,19,blueBalloon.png,92,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,10,1,19,blueBalloon.png,62,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,7,1,19,blueBalloon.png,44,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,13,1,19,blueBalloon.png,80,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,11,1,19,blueBalloon.png,68,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
70,1.15,3.5,FALSE,1,0,20,17,1,19,blueBalloon.png,104,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
25,0.475,1.25,FALSE,1,0,20,4,1,19,blueBalloon.png,26,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
54,0.91,2.7,FALSE,1,0,20,19,1,19,blueBalloon.png,116,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
50,0.85,2.5,FALSE,1,0,20,18,1,19,blueBalloon.png,110,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
50,0.85,2.5,FALSE,1,0,20,16,1,19,blueBalloon.png,98,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
51,0.85,0,TRUE,1,0,20,8,1,19,blueBalloon.png,50,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
39,0.685,1.95,FALSE,1,0,20,12,1,19,blueBalloon.png,74,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
17,0.355,0.85,FALSE,1,0,20,14,1,19,blueBalloon.png,86,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,,
,,,,,,,,,,,,CZ,f,22,004,2020-03-14_19h27.44.971,bart,3.1.3,60,space,0.289999962
