nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
30,0.55,1.5,FALSE,1,0,20,5,1,19,blueBalloon.png,32,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
50,0.85,2.5,FALSE,1,0,20,9,1,19,blueBalloon.png,56,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
52,0.88,2.6,FALSE,1,0,20,15,1,19,blueBalloon.png,92,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
60,1,3,FALSE,1,0,20,10,1,19,blueBalloon.png,62,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
45,0.76,0,TRUE,1,0,20,7,1,19,blueBalloon.png,44,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
63,1.045,3.15,FALSE,1,0,20,13,1,19,blueBalloon.png,80,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
63,1.045,3.15,FALSE,1,0,20,11,1,19,blueBalloon.png,68,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
64,1.06,3.2,FALSE,1,0,20,17,1,19,blueBalloon.png,104,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
65,1.075,3.25,FALSE,1,0,20,19,1,19,blueBalloon.png,116,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
68,1.12,3.4,FALSE,1,0,20,18,1,19,blueBalloon.png,110,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
80,1.3,4,FALSE,1,0,20,16,1,19,blueBalloon.png,98,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
51,0.85,0,TRUE,1,0,20,8,1,19,blueBalloon.png,50,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
75,1.21,0,TRUE,1,0,20,12,1,19,blueBalloon.png,74,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
60,1,3,FALSE,1,0,20,14,1,19,blueBalloon.png,86,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,,
,,,,,,,,,,,,C,M,21,004,2020-06-18_16h26.19.803,bart,3.1.3,60,space,0.19299984
