nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
21,0.415,1.05,FALSE,1,0,20,9,1,19,blueBalloon.png,56,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
9,0.235,0.45,FALSE,1,0,20,15,1,19,blueBalloon.png,92,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
21,0.415,1.05,FALSE,1,0,20,10,1,19,blueBalloon.png,62,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
17,0.355,0.85,FALSE,1,0,20,7,1,19,blueBalloon.png,44,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,13,1,19,blueBalloon.png,80,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
35,0.625,1.75,FALSE,1,0,20,11,1,19,blueBalloon.png,68,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
38,0.67,1.9,FALSE,1,0,20,17,1,19,blueBalloon.png,104,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,6,1,19,blueBalloon.png,38,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
28,0.52,1.4,FALSE,1,0,20,19,1,19,blueBalloon.png,116,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,18,1,19,blueBalloon.png,110,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
21,0.415,1.05,FALSE,1,0,20,16,1,19,blueBalloon.png,98,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,8,1,19,blueBalloon.png,50,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
45,0.775,2.25,FALSE,1,0,20,12,1,19,blueBalloon.png,74,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
43,0.745,2.15,FALSE,1,0,20,14,1,19,blueBalloon.png,86,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,,
,,,,,,,,,,,,KD,f,24,004,2020-08-09_11h45.44.390,bart,3.1.3,60,space,0.013000011
