nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
34,0.61,1.7,FALSE,1,0,20,9,1,19,blueBalloon.png,56,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
33,0.595,1.65,FALSE,1,0,20,15,1,19,blueBalloon.png,92,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
34,0.61,1.7,FALSE,1,0,20,10,1,19,blueBalloon.png,62,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
36,0.64,1.8,FALSE,1,0,20,7,1,19,blueBalloon.png,44,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
38,0.67,1.9,FALSE,1,0,20,13,1,19,blueBalloon.png,80,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
43,0.745,2.15,FALSE,1,0,20,11,1,19,blueBalloon.png,68,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
42,0.73,2.1,FALSE,1,0,20,17,1,19,blueBalloon.png,104,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
33,0.595,1.65,FALSE,1,0,20,19,1,19,blueBalloon.png,116,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
37,0.655,1.85,FALSE,1,0,20,18,1,19,blueBalloon.png,110,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
39,0.685,1.95,FALSE,1,0,20,16,1,19,blueBalloon.png,98,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
49,0.835,2.45,FALSE,1,0,20,8,1,19,blueBalloon.png,50,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
42,0.73,2.1,FALSE,1,0,20,12,1,19,blueBalloon.png,74,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
44,0.76,2.2,FALSE,1,0,20,14,1,19,blueBalloon.png,86,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,,
,,,,,,,,,,,,abc,m,60,004,2020-06-04_16h28.24.045,bart,3.1.3,60,space,0.372999907
