nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,9,1,19,blueBalloon.png,56,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
41,0.715,2.05,FALSE,1,0,20,15,1,19,blueBalloon.png,92,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
51,0.865,2.55,FALSE,1,0,20,10,1,19,blueBalloon.png,62,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
45,0.76,0,TRUE,1,0,20,7,1,19,blueBalloon.png,44,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
48,0.82,2.4,FALSE,1,0,20,13,1,19,blueBalloon.png,80,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
68,1.12,3.4,FALSE,1,0,20,11,1,19,blueBalloon.png,68,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
70,1.15,3.5,FALSE,1,0,20,17,1,19,blueBalloon.png,104,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
86,1.39,4.3,FALSE,1,0,20,19,1,19,blueBalloon.png,116,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
72,1.18,3.6,FALSE,1,0,20,18,1,19,blueBalloon.png,110,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
91,1.465,4.55,FALSE,1,0,20,16,1,19,blueBalloon.png,98,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
51,0.85,0,TRUE,1,0,20,8,1,19,blueBalloon.png,50,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
75,1.21,0,TRUE,1,0,20,12,1,19,blueBalloon.png,74,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
87,1.39,0,TRUE,1,0,20,14,1,19,blueBalloon.png,86,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,,
,,,,,,,,,,,,asis,m,37,001,2020-03-31_17h06.24.417,bart,3.1.3,60,space,0.058000088
