nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,9,1,19,blueBalloon.png,56,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
75,1.225,3.75,FALSE,1,0,20,15,1,19,blueBalloon.png,92,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
63,1.03,0,TRUE,1,0,20,10,1,19,blueBalloon.png,62,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
45,0.76,0,TRUE,1,0,20,7,1,19,blueBalloon.png,44,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
46,0.79,2.3,FALSE,1,0,20,13,1,19,blueBalloon.png,80,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
63,1.045,3.15,FALSE,1,0,20,11,1,19,blueBalloon.png,68,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
67,1.105,3.35,FALSE,1,0,20,17,1,19,blueBalloon.png,104,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
60,1,3,FALSE,1,0,20,19,1,19,blueBalloon.png,116,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
53,0.895,2.65,FALSE,1,0,20,18,1,19,blueBalloon.png,110,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,16,1,19,blueBalloon.png,98,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,8,1,19,blueBalloon.png,50,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,12,1,19,blueBalloon.png,74,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
5,0.175,0.25,FALSE,1,0,20,3,1,19,blueBalloon.png,20,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
9,0.235,0.45,FALSE,1,0,20,14,1,19,blueBalloon.png,86,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,,
,,,,,,,,,,,,blub,f,22,004,2020-04-23_10h01.18.990,bart,3.1.3,60,space,0.001999855
