nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
26,0.49,1.3,FALSE,1,0,20,5,1,19,blueBalloon.png,32,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
50,0.85,2.5,FALSE,1,0,20,9,1,19,blueBalloon.png,56,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
16,0.34,0.8,FALSE,1,0,20,15,1,19,blueBalloon.png,92,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,10,1,19,blueBalloon.png,62,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,7,1,19,blueBalloon.png,44,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,13,1,19,blueBalloon.png,80,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
42,0.73,2.1,FALSE,1,0,20,11,1,19,blueBalloon.png,68,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
42,0.73,2.1,FALSE,1,0,20,17,1,19,blueBalloon.png,104,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,19,1,19,blueBalloon.png,116,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,18,1,19,blueBalloon.png,110,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
41,0.715,2.05,FALSE,1,0,20,16,1,19,blueBalloon.png,98,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
41,0.715,2.05,FALSE,1,0,20,8,1,19,blueBalloon.png,50,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,12,1,19,blueBalloon.png,74,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,14,1,19,blueBalloon.png,86,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,,
,,,,,,,,,,,,c,m,25,004,2020-09-08_15h17.54.423,bart,3.1.3,60,space,0.194000006
