nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
3,0.145,0.15,FALSE,1,0,20,5,1,19,blueBalloon.png,32,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
12,0.28,0.6,FALSE,1,0,20,9,1,19,blueBalloon.png,56,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
6,0.19,0.3,FALSE,1,0,20,15,1,19,blueBalloon.png,92,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
10,0.25,0.5,FALSE,1,0,20,10,1,19,blueBalloon.png,62,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
15,0.325,0.75,FALSE,1,0,20,7,1,19,blueBalloon.png,44,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
10,0.25,0.5,FALSE,1,0,20,13,1,19,blueBalloon.png,80,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
16,0.34,0.8,FALSE,1,0,20,11,1,19,blueBalloon.png,68,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
16,0.34,0.8,FALSE,1,0,20,17,1,19,blueBalloon.png,104,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
8,0.22,0.4,FALSE,1,0,20,1,1,19,blueBalloon.png,8,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
18,0.37,0.9,FALSE,1,0,20,6,1,19,blueBalloon.png,38,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
19,0.385,0.95,FALSE,1,0,20,4,1,19,blueBalloon.png,26,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,19,1,19,blueBalloon.png,116,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,18,1,19,blueBalloon.png,110,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
19,0.385,0.95,FALSE,1,0,20,16,1,19,blueBalloon.png,98,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
27,0.505,1.35,FALSE,1,0,20,8,1,19,blueBalloon.png,50,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
18,0.37,0.9,FALSE,1,0,20,12,1,19,blueBalloon.png,74,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
19,0.385,0.95,FALSE,1,0,20,14,1,19,blueBalloon.png,86,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,,
,,,,,,,,,,,,dd,m,32,004,2020-04-02_19h59.28.709,bart,3.1.3,60,space,0.264999866
