nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
22,0.43,1.1,FALSE,1,0,20,5,1,19,blueBalloon.png,32,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
35,0.625,1.75,FALSE,1,0,20,9,1,19,blueBalloon.png,56,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
42,0.73,2.1,FALSE,1,0,20,15,1,19,blueBalloon.png,92,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,10,1,19,blueBalloon.png,62,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
31,0.565,1.55,FALSE,1,0,20,7,1,19,blueBalloon.png,44,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
39,0.685,1.95,FALSE,1,0,20,13,1,19,blueBalloon.png,80,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
41,0.715,2.05,FALSE,1,0,20,11,1,19,blueBalloon.png,68,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
45,0.775,2.25,FALSE,1,0,20,17,1,19,blueBalloon.png,104,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
31,0.565,1.55,FALSE,1,0,20,6,1,19,blueBalloon.png,38,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
42,0.73,2.1,FALSE,1,0,20,19,1,19,blueBalloon.png,116,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
41,0.715,2.05,FALSE,1,0,20,18,1,19,blueBalloon.png,110,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
48,0.82,2.4,FALSE,1,0,20,16,1,19,blueBalloon.png,98,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
43,0.745,2.15,FALSE,1,0,20,8,1,19,blueBalloon.png,50,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
33,0.595,1.65,FALSE,1,0,20,12,1,19,blueBalloon.png,74,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
43,0.745,2.15,FALSE,1,0,20,14,1,19,blueBalloon.png,86,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,,
,,,,,,,,,,,,ddd,m,45,004,2020-08-19_11h47.29.383,bart,3.1.3,60,return,6.235000134
