nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,9,1,19,blueBalloon.png,56,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
5,0.175,0.25,FALSE,1,0,20,15,1,19,blueBalloon.png,92,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
6,0.19,0.3,FALSE,1,0,20,10,1,19,blueBalloon.png,62,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
10,0.25,0.5,FALSE,1,0,20,7,1,19,blueBalloon.png,44,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
13,0.295,0.65,FALSE,1,0,20,13,1,19,blueBalloon.png,80,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
16,0.34,0.8,FALSE,1,0,20,11,1,19,blueBalloon.png,68,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,17,1,19,blueBalloon.png,104,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,6,1,19,blueBalloon.png,38,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,4,1,19,blueBalloon.png,26,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
21,0.415,1.05,FALSE,1,0,20,19,1,19,blueBalloon.png,116,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
21,0.415,1.05,FALSE,1,0,20,18,1,19,blueBalloon.png,110,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,16,1,19,blueBalloon.png,98,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,8,1,19,blueBalloon.png,50,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
28,0.52,1.4,FALSE,1,0,20,12,1,19,blueBalloon.png,74,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,14,1,19,blueBalloon.png,86,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,,
,,,,,,,,,,,,denys,m,28,004,2020-02-20_16h13.06.248,bart,3.1.3,60,space,0.339999914
