nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
20,0.4,1,FALSE,1,0,20,5,1,19,blueBalloon.png,32,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,9,1,19,blueBalloon.png,56,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
22,0.43,1.1,FALSE,1,0,20,15,1,19,blueBalloon.png,92,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
18,0.37,0.9,FALSE,1,0,20,10,1,19,blueBalloon.png,62,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
21,0.415,1.05,FALSE,1,0,20,7,1,19,blueBalloon.png,44,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,13,1,19,blueBalloon.png,80,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,11,1,19,blueBalloon.png,68,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
28,0.52,1.4,FALSE,1,0,20,17,1,19,blueBalloon.png,104,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,6,1,19,blueBalloon.png,38,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,19,1,19,blueBalloon.png,116,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,18,1,19,blueBalloon.png,110,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,16,1,19,blueBalloon.png,98,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,8,1,19,blueBalloon.png,50,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,12,1,19,blueBalloon.png,74,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,14,1,19,blueBalloon.png,86,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,,
,,,,,,,,,,,,ef,m,39,001,2020-04-09_19h25.03.851,bart,3.1.3,60,return,2.594000101
