nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
18,0.37,0.9,FALSE,1,0,20,9,1,19,blueBalloon.png,56,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
9,0.235,0.45,FALSE,1,0,20,2,1,19,blueBalloon.png,14,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
7,0.205,0.35,FALSE,1,0,20,15,1,19,blueBalloon.png,92,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
14,0.31,0.7,FALSE,1,0,20,10,1,19,blueBalloon.png,62,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
9,0.235,0.45,FALSE,1,0,20,7,1,19,blueBalloon.png,44,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
17,0.355,0.85,FALSE,1,0,20,13,1,19,blueBalloon.png,80,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
18,0.37,0.9,FALSE,1,0,20,11,1,19,blueBalloon.png,68,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
7,0.205,0.35,FALSE,1,0,20,17,1,19,blueBalloon.png,104,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
5,0.175,0.25,FALSE,1,0,20,6,1,19,blueBalloon.png,38,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
2,0.13,0.1,FALSE,1,0,20,4,1,19,blueBalloon.png,26,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
2,0.13,0.1,FALSE,1,0,20,19,1,19,blueBalloon.png,116,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
5,0.175,0.25,FALSE,1,0,20,18,1,19,blueBalloon.png,110,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
9,0.235,0.45,FALSE,1,0,20,16,1,19,blueBalloon.png,98,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
13,0.295,0.65,FALSE,1,0,20,8,1,19,blueBalloon.png,50,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
14,0.31,0.7,FALSE,1,0,20,12,1,19,blueBalloon.png,74,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
14,0.31,0.7,FALSE,1,0,20,3,1,19,blueBalloon.png,20,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
18,0.37,0.9,FALSE,1,0,20,14,1,19,blueBalloon.png,86,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,,
,,,,,,,,,,,,g,f,26,004,2020-09-03_18h00.50.631,bart,3.1.3,60,space,0.118999958
