nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
27,0.505,1.35,FALSE,1,0,20,5,1,19,blueBalloon.png,32,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
47,0.805,2.35,FALSE,1,0,20,9,1,19,blueBalloon.png,56,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
50,0.85,2.5,FALSE,1,0,20,15,1,19,blueBalloon.png,92,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
63,1.03,0,TRUE,1,0,20,10,1,19,blueBalloon.png,62,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,7,1,19,blueBalloon.png,44,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
33,0.595,1.65,FALSE,1,0,20,13,1,19,blueBalloon.png,80,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
38,0.67,1.9,FALSE,1,0,20,11,1,19,blueBalloon.png,68,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
44,0.76,2.2,FALSE,1,0,20,17,1,19,blueBalloon.png,104,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
15,0.325,0.75,FALSE,1,0,20,19,1,19,blueBalloon.png,116,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
33,0.595,1.65,FALSE,1,0,20,18,1,19,blueBalloon.png,110,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
36,0.64,1.8,FALSE,1,0,20,16,1,19,blueBalloon.png,98,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
33,0.595,1.65,FALSE,1,0,20,8,1,19,blueBalloon.png,50,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
35,0.625,1.75,FALSE,1,0,20,12,1,19,blueBalloon.png,74,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
37,0.655,1.85,FALSE,1,0,20,14,1,19,blueBalloon.png,86,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,,
,,,,,,,,,,,,hjs,m,35,004,2020-01-03_20h14.49.490,bart,3.1.3,60,space,4.67599988
