nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
2,0.13,0.1,FALSE,1,0,20,5,1,19,blueBalloon.png,32,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,9,1,19,blueBalloon.png,56,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,2,1,19,blueBalloon.png,14,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,0,1,19,blueBalloon.png,2,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,15,1,19,blueBalloon.png,92,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,10,1,19,blueBalloon.png,62,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,7,1,19,blueBalloon.png,44,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,13,1,19,blueBalloon.png,80,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,11,1,19,blueBalloon.png,68,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,17,1,19,blueBalloon.png,104,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,1,1,19,blueBalloon.png,8,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,6,1,19,blueBalloon.png,38,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,4,1,19,blueBalloon.png,26,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,19,1,19,blueBalloon.png,116,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,18,1,19,blueBalloon.png,110,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,16,1,19,blueBalloon.png,98,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,8,1,19,blueBalloon.png,50,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,12,1,19,blueBalloon.png,74,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,3,1,19,blueBalloon.png,20,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,14,1,19,blueBalloon.png,86,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,,
,,,,,,,,,,,,j,f,21,004,2020-09-25_19h15.45.673,bart,3.1.3,60,space,0.240999937
