nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
20,0.4,1,FALSE,1,0,20,5,1,19,blueBalloon.png,32,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
57,0.94,0,TRUE,1,0,20,9,1,19,blueBalloon.png,56,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
10,0.25,0.5,FALSE,1,0,20,15,1,19,blueBalloon.png,92,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
14,0.31,0.7,FALSE,1,0,20,10,1,19,blueBalloon.png,62,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,7,1,19,blueBalloon.png,44,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
22,0.43,1.1,FALSE,1,0,20,13,1,19,blueBalloon.png,80,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,11,1,19,blueBalloon.png,68,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
12,0.28,0.6,FALSE,1,0,20,17,1,19,blueBalloon.png,104,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,6,1,19,blueBalloon.png,38,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
21,0.415,1.05,FALSE,1,0,20,19,1,19,blueBalloon.png,116,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
17,0.355,0.85,FALSE,1,0,20,18,1,19,blueBalloon.png,110,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
34,0.61,1.7,FALSE,1,0,20,16,1,19,blueBalloon.png,98,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,8,1,19,blueBalloon.png,50,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,12,1,19,blueBalloon.png,74,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
42,0.73,2.1,FALSE,1,0,20,14,1,19,blueBalloon.png,86,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,,
,,,,,,,,,,,,k,m,27,001,2020-03-23_10h19.22.643,bart,3.1.3,60,return,1.079999924
