nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
57,0.94,0,TRUE,1,0,20,9,1,19,blueBalloon.png,56,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
93,1.48,0,TRUE,1,0,20,15,1,19,blueBalloon.png,92,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
63,1.03,0,TRUE,1,0,20,10,1,19,blueBalloon.png,62,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
45,0.76,0,TRUE,1,0,20,7,1,19,blueBalloon.png,44,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
81,1.3,0,TRUE,1,0,20,13,1,19,blueBalloon.png,80,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
69,1.12,0,TRUE,1,0,20,11,1,19,blueBalloon.png,68,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
105,1.66,0,TRUE,1,0,20,17,1,19,blueBalloon.png,104,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
117,1.84,0,TRUE,1,0,20,19,1,19,blueBalloon.png,116,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
111,1.75,0,TRUE,1,0,20,18,1,19,blueBalloon.png,110,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
99,1.57,0,TRUE,1,0,20,16,1,19,blueBalloon.png,98,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
51,0.85,0,TRUE,1,0,20,8,1,19,blueBalloon.png,50,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
75,1.21,0,TRUE,1,0,20,12,1,19,blueBalloon.png,74,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
87,1.39,0,TRUE,1,0,20,14,1,19,blueBalloon.png,86,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,,
,,,,,,,,,,,,kiki,f,24,004,2020-05-19_21h10.05.039,bart,3.1.3,60,space,0.009000063
