nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
32,0.58,1.6,FALSE,1,0,20,5,1,19,blueBalloon.png,32,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
44,0.76,2.2,FALSE,1,0,20,9,1,19,blueBalloon.png,56,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
2,0.13,0.1,FALSE,1,0,20,15,1,19,blueBalloon.png,92,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,10,1,19,blueBalloon.png,62,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
5,0.175,0.25,FALSE,1,0,20,7,1,19,blueBalloon.png,44,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
19,0.385,0.95,FALSE,1,0,20,13,1,19,blueBalloon.png,80,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
25,0.475,1.25,FALSE,1,0,20,11,1,19,blueBalloon.png,68,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
33,0.595,1.65,FALSE,1,0,20,17,1,19,blueBalloon.png,104,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
13,0.295,0.65,FALSE,1,0,20,6,1,19,blueBalloon.png,38,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,4,1,19,blueBalloon.png,26,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
2,0.13,0.1,FALSE,1,0,20,19,1,19,blueBalloon.png,116,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,18,1,19,blueBalloon.png,110,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,16,1,19,blueBalloon.png,98,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,8,1,19,blueBalloon.png,50,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,12,1,19,blueBalloon.png,74,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,3,1,19,blueBalloon.png,20,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,14,1,19,blueBalloon.png,86,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,,
,,,,,,,,,,,,me,f,21,004,2020-05-08_11h10.32.947,bart,3.1.3,60,return,6.374000072
