nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
10,0.25,0.5,FALSE,1,0,20,5,1,19,blueBalloon.png,32,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,9,1,19,blueBalloon.png,56,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,15,1,19,blueBalloon.png,92,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,10,1,19,blueBalloon.png,62,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,7,1,19,blueBalloon.png,44,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,13,1,19,blueBalloon.png,80,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,11,1,19,blueBalloon.png,68,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,17,1,19,blueBalloon.png,104,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,6,1,19,blueBalloon.png,38,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,4,1,19,blueBalloon.png,26,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
28,0.52,1.4,FALSE,1,0,20,19,1,19,blueBalloon.png,116,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
28,0.52,1.4,FALSE,1,0,20,18,1,19,blueBalloon.png,110,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
28,0.52,1.4,FALSE,1,0,20,16,1,19,blueBalloon.png,98,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
28,0.52,1.4,FALSE,1,0,20,8,1,19,blueBalloon.png,50,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,12,1,19,blueBalloon.png,74,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,3,1,19,blueBalloon.png,20,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,14,1,19,blueBalloon.png,86,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,,
,,,,,,,,,,,,plop,f,12,004,2019-07-17_09h48.34.093,bart,3.1.3,60,return,5.569
