nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
2,0.13,0.1,FALSE,1,0,20,9,1,19,blueBalloon.png,56,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
14,0.31,0.7,FALSE,1,0,20,15,1,19,blueBalloon.png,92,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,10,1,19,blueBalloon.png,62,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
2,0.13,0.1,FALSE,1,0,20,7,1,19,blueBalloon.png,44,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,13,1,19,blueBalloon.png,80,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,11,1,19,blueBalloon.png,68,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,17,1,19,blueBalloon.png,104,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,1,1,19,blueBalloon.png,8,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,6,1,19,blueBalloon.png,38,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,4,1,19,blueBalloon.png,26,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,19,1,19,blueBalloon.png,116,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,18,1,19,blueBalloon.png,110,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,16,1,19,blueBalloon.png,98,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,8,1,19,blueBalloon.png,50,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,12,1,19,blueBalloon.png,74,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
8,0.22,0.4,FALSE,1,0,20,3,1,19,blueBalloon.png,20,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,14,1,19,blueBalloon.png,86,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,,
,,,,,,,,,,,,rin,f,20,004,2020-08-17_23h06.02.080,bart,3.1.3,60,return,2.861000061
