nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
23,0.445,1.15,FALSE,1,0,20,5,1,19,blueBalloon.png,32,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
25,0.475,1.25,FALSE,1,0,20,9,1,19,blueBalloon.png,56,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
10,0.25,0.5,FALSE,1,0,20,15,1,19,blueBalloon.png,92,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
16,0.34,0.8,FALSE,1,0,20,10,1,19,blueBalloon.png,62,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,7,1,19,blueBalloon.png,44,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
34,0.61,1.7,FALSE,1,0,20,13,1,19,blueBalloon.png,80,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,11,1,19,blueBalloon.png,68,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
37,0.655,1.85,FALSE,1,0,20,17,1,19,blueBalloon.png,104,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,6,1,19,blueBalloon.png,38,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,19,1,19,blueBalloon.png,116,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
22,0.43,1.1,FALSE,1,0,20,18,1,19,blueBalloon.png,110,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,16,1,19,blueBalloon.png,98,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,8,1,19,blueBalloon.png,50,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
35,0.625,1.75,FALSE,1,0,20,12,1,19,blueBalloon.png,74,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
17,0.355,0.85,FALSE,1,0,20,14,1,19,blueBalloon.png,86,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,,
,,,,,,,,,,,,t,m,29,004,2020-06-04_09h04.58.040,bart,3.1.3,60,space,0.258000135
