nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
16,0.34,0.8,FALSE,1,0,20,5,1,19,blueBalloon.png,32,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
18,0.37,0.9,FALSE,1,0,20,9,1,19,blueBalloon.png,56,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
5,0.175,0.25,FALSE,1,0,20,15,1,19,blueBalloon.png,92,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
10,0.25,0.5,FALSE,1,0,20,10,1,19,blueBalloon.png,62,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
16,0.34,0.8,FALSE,1,0,20,7,1,19,blueBalloon.png,44,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
18,0.37,0.9,FALSE,1,0,20,13,1,19,blueBalloon.png,80,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,11,1,19,blueBalloon.png,68,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
25,0.475,1.25,FALSE,1,0,20,17,1,19,blueBalloon.png,104,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
13,0.295,0.65,FALSE,1,0,20,6,1,19,blueBalloon.png,38,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
18,0.37,0.9,FALSE,1,0,20,4,1,19,blueBalloon.png,26,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,19,1,19,blueBalloon.png,116,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,18,1,19,blueBalloon.png,110,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
33,0.595,1.65,FALSE,1,0,20,16,1,19,blueBalloon.png,98,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
38,0.67,1.9,FALSE,1,0,20,8,1,19,blueBalloon.png,50,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
45,0.775,2.25,FALSE,1,0,20,12,1,19,blueBalloon.png,74,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
16,0.34,0.8,FALSE,1,0,20,14,1,19,blueBalloon.png,86,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,,
,,,,,,,,,,,,walter,m,35,004,2020-03-30_08h15.41.099,bart,3.1.3,60,space,3.616999865
