nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
20,0.4,1,FALSE,1,0,20,5,1,19,blueBalloon.png,32,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
17,0.355,0.85,FALSE,1,0,20,9,1,19,blueBalloon.png,56,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
3,0.145,0.15,FALSE,1,0,20,15,1,19,blueBalloon.png,92,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
31,0.565,1.55,FALSE,1,0,20,10,1,19,blueBalloon.png,62,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
45,0.76,0,TRUE,1,0,20,7,1,19,blueBalloon.png,44,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
77,1.255,3.85,FALSE,1,0,20,13,1,19,blueBalloon.png,80,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
69,1.12,0,TRUE,1,0,20,11,1,19,blueBalloon.png,68,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
72,1.18,3.6,FALSE,1,0,20,17,1,19,blueBalloon.png,104,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
99,1.585,4.95,FALSE,1,0,20,19,1,19,blueBalloon.png,116,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
62,1.03,3.1,FALSE,1,0,20,18,1,19,blueBalloon.png,110,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
82,1.33,4.1,FALSE,1,0,20,16,1,19,blueBalloon.png,98,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
51,0.85,0,TRUE,1,0,20,8,1,19,blueBalloon.png,50,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
54,0.91,2.7,FALSE,1,0,20,12,1,19,blueBalloon.png,74,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
87,1.39,0,TRUE,1,0,20,14,1,19,blueBalloon.png,86,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,,
,,,,,,,,,,,,x,f,27,004,2020-05-05_17h38.10.552,bart,3.1.3,60,space,7.056999922
