nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
31,0.565,1.55,FALSE,1,0,20,9,1,19,blueBalloon.png,56,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
38,0.67,1.9,FALSE,1,0,20,15,1,19,blueBalloon.png,92,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
21,0.415,1.05,FALSE,1,0,20,10,1,19,blueBalloon.png,62,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
45,0.76,0,TRUE,1,0,20,7,1,19,blueBalloon.png,44,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
43,0.745,2.15,FALSE,1,0,20,13,1,19,blueBalloon.png,80,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
45,0.775,2.25,FALSE,1,0,20,11,1,19,blueBalloon.png,68,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
51,0.865,2.55,FALSE,1,0,20,17,1,19,blueBalloon.png,104,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
57,0.955,2.85,FALSE,1,0,20,19,1,19,blueBalloon.png,116,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
36,0.64,1.8,FALSE,1,0,20,18,1,19,blueBalloon.png,110,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
12,0.28,0.6,FALSE,1,0,20,16,1,19,blueBalloon.png,98,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
29,0.535,1.45,FALSE,1,0,20,8,1,19,blueBalloon.png,50,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
67,1.105,3.35,FALSE,1,0,20,12,1,19,blueBalloon.png,74,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,14,1,19,blueBalloon.png,86,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,,
,,,,,,,,,,,,yj,f,23,004,2020-10-05_17h49.34.776,bart,3.1.3,60,space,0.295000076
