nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
19,0.385,0.95,FALSE,1,0,20,5,1,19,blueBalloon.png,32,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,9,1,19,blueBalloon.png,56,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
17,0.355,0.85,FALSE,1,0,20,15,1,19,blueBalloon.png,92,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
18,0.37,0.9,FALSE,1,0,20,10,1,19,blueBalloon.png,62,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
25,0.475,1.25,FALSE,1,0,20,7,1,19,blueBalloon.png,44,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
28,0.52,1.4,FALSE,1,0,20,13,1,19,blueBalloon.png,80,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,11,1,19,blueBalloon.png,68,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
36,0.64,1.8,FALSE,1,0,20,17,1,19,blueBalloon.png,104,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
25,0.475,1.25,FALSE,1,0,20,6,1,19,blueBalloon.png,38,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
25,0.475,1.25,FALSE,1,0,20,4,1,19,blueBalloon.png,26,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,19,1,19,blueBalloon.png,116,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
36,0.64,1.8,FALSE,1,0,20,18,1,19,blueBalloon.png,110,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,16,1,19,blueBalloon.png,98,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,8,1,19,blueBalloon.png,50,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,12,1,19,blueBalloon.png,74,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,14,1,19,blueBalloon.png,86,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,,
,,,,,,,,,,,,ys,f,25,004,2020-02-28_14h21.47.676,bart,3.1.3,60,space,2.069000006
