nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
39,0.685,1.95,FALSE,1,0,20,9,1,19,blueBalloon.png,56,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
21,0.415,1.05,FALSE,1,0,20,15,1,19,blueBalloon.png,92,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
24,0.46,1.2,FALSE,1,0,20,10,1,19,blueBalloon.png,62,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
31,0.565,1.55,FALSE,1,0,20,7,1,19,blueBalloon.png,44,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
38,0.67,1.9,FALSE,1,0,20,13,1,19,blueBalloon.png,80,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
42,0.73,2.1,FALSE,1,0,20,11,1,19,blueBalloon.png,68,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
44,0.76,2.2,FALSE,1,0,20,17,1,19,blueBalloon.png,104,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
23,0.445,1.15,FALSE,1,0,20,19,1,19,blueBalloon.png,116,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
34,0.61,1.7,FALSE,1,0,20,18,1,19,blueBalloon.png,110,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
31,0.565,1.55,FALSE,1,0,20,16,1,19,blueBalloon.png,98,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,8,1,19,blueBalloon.png,50,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
37,0.655,1.85,FALSE,1,0,20,12,1,19,blueBalloon.png,74,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
31,0.565,1.55,FALSE,1,0,20,14,1,19,blueBalloon.png,86,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,,
,,,,,,,,,,,,z,m,30,004,2020-05-13_07h46.20.218,bart,3.1.3,60,space,0.003000021
